split,model_version,prediction_count,mae,rmse,mape,smape,wape,bias,absolute_bias,median_absolute_error,p90_absolute_error,p95_absolute_error,peak_threshold_mw,peak_prediction_count,peak_hour_mae,peak_hour_rmse,peak_hour_bias,ramp_mae,directional_accuracy,overprediction_rate,underprediction_rate,prediction_latency_ms,overall_score,model_rank
test,hist_gradient_boosting_v0_1,3913,570.4313988422058,769.0143636210804,0.5851315118057052,0.5858727309604073,0.5949183712755621,-120.74080572891185,120.74080572891185,431.73562026341096,1211.5311813823325,1583.6292408293132,116238.40000000001,392,974.9719398556181,1287.6479407292206,-375.09723443611335,570.4313988422058,92.92103245591618,42.47380526450294,57.52619473549706,0.011533810375098865,0.0003641136810871688,1
test,extra_trees_v0_1,3913,578.4679739591295,784.2531602573877,0.5963840790432928,0.5968611537211185,0.6032999333510336,-78.9765182697814,78.9765182697814,434.5638611110917,1279.1951682539805,1606.7673174603046,116238.40000000001,392,864.7408056577084,1160.8489732947703,-443.7280727418133,578.4679739591295,92.33324814720164,46.89496549961667,53.10503450038334,0.020507922308863884,0.0011197850152755199,2
test,gradient_boosting_v0_1,3913,605.2103852921134,800.0517983302439,0.6268710784670596,0.6274987474688064,0.6311903191651581,-94.58195877939822,94.58195877939822,475.2356090685789,1285.2560149662547,1609.6140441915365,116238.40000000001,392,896.6774444356053,1189.7238553949019,-355.45909706622405,605.2103852921134,91.97546639407105,45.41272680807565,54.58727319192435,0.0022355737263984633,0.001918135929265634,3
test,random_forest_v0_1,3913,689.2547944690612,948.8235023715549,0.7069173430716844,0.7075074242666016,0.718842512091161,-76.62912806941368,76.62912806941368,507.6053438672534,1513.2425507226208,1961.625453652508,116238.40000000001,392,1104.118292704273,1509.5406841933568,-473.8496269174578,689.2547944690612,91.08101201124457,47.35497061078456,52.64502938921544,0.014700357779720542,0.004270668051367347,4
test,lasso_regression_v0_1,3913,758.342466403342,1018.9733540720686,0.7900684530695905,0.7910042860928744,0.7908959182426909,-45.20834850419669,45.20834850419669,576.0554840171535,1634.681184322678,2131.639839795516,116238.40000000001,392,986.3853558450014,1262.9325573630463,-402.17338592739395,758.342466403342,89.8287758752875,51.597239969332996,48.40276003066701,0.0007578584233988166,0.0064972776244719,5
test,linear_regression_v0_1,3913,758.2901406233884,1018.8299281059143,0.7900482391084318,0.7909749160461033,0.790841346268131,-44.08971573771012,44.08971573771012,576.1281105675444,1633.8207637783896,2132.53704494269,116238.40000000001,392,985.8993163013907,1262.5305584385194,-400.9271602663713,758.2901406233884,89.80322003577818,51.77613084589828,48.22386915410171,0.0008254280606479427,0.006533342465070475,6
test,ridge_regression_v0_1,3913,758.1486086729943,1018.8133968740044,0.7899064630204992,0.7908423226095043,0.7906937387598787,-45.457542104207974,45.457542104207974,575.3022660683491,1634.3120651546778,2135.3290699369736,116238.40000000001,392,986.6767674572561,1263.2005580393127,-403.7843613297399,758.1486086729943,89.80322003577818,51.597239969332996,48.40276003066701,0.0007604395605301463,0.006536058747119193,7
test,mlp_neural_network_v0_1,3913,895.168730381971,1151.3022874630146,0.9383415640105105,0.9377903310213601,0.9335957385525531,96.80089028017163,96.80089028017163,734.5431520346174,1881.2183214822583,2306.6755778241936,116238.40000000001,392,1179.0799192650265,1486.4564579908897,605.0595031543264,895.168730381971,87.73319703552261,53.232813697929984,46.76718630207002,0.0014758497311043682,0.011069768279704278,8
test,baseline_lag_24h_exact_v0_1,3913,4646.812931254792,6371.480182025306,4.759545859541617,4.761235895528353,4.846287189476815,1.1886020955788397,1.1886020955788397,3278.0,10549.000000000002,13423.8,116238.40000000001,392,7268.02806122449,9488.359459471529,-2810.4005102040815,4646.812931254792,66.16406848964988,50.6005622284692,49.3994377715308,0.0,0.0824096464999331,9
test,baseline_weighted_weather_naive_v0_1,3913,4064.723670031519,5032.367420238099,4.223141445043482,4.202356399241105,4.239210517458384,366.1400428060317,366.1400428060317,3506.5458333333227,8202.75999999999,9589.72249999999,116238.40000000001,392,6157.457334183672,7193.420780440599,-2788.250595238095,4064.723670031519,33.17147968310759,54.5361615129057,45.4638384870943,0.0,0.1267029843326438,10
test,baseline_lag_168h_exact_v0_1,3913,8349.758752875032,11170.195311804488,8.41362222629755,8.249303907880822,8.708189780377754,723.7883976488628,723.7883976488628,5819.0,19296.8,23040.199999999983,116238.40000000001,392,14857.19642857143,16724.33596245914,-7833.323979591837,8349.758752875032,61.231791464349605,48.019422438027085,51.98057756197291,0.0,0.13058597955541884,11
test,baseline_rolling_24h_v0_1,3913,7720.247114319788,9891.077929740672,8.050726354623386,7.944453643160624,8.051655025333716,5.5864745719398075,5.5864745719398075,6213.125,16601.95833333334,20314.724999999988,116238.40000000001,392,13527.387967687075,15759.301377803127,-12772.822278911564,7720.247114319788,52.51725019166879,48.55609506772298,51.44390493227703,0.0,0.13509914794412106,12
test,baseline_rolling_3h_v0_1,3913,4330.722548769061,5360.170475213937,4.498717914364504,4.486027239017698,4.516627959802646,8.835335207428283,8.835335207428283,3803.6666666666715,8986.933333333325,10343.000000000002,116238.40000000001,392,6528.998299319728,7540.119445227597,-2115.8486394557826,4330.722548769061,17.735752619473548,50.498338870431894,49.501661129568106,0.0,0.15235181732000708,13
test,baseline_lag_1h_v0_1,3913,4444.094045489394,5519.080100166806,4.611303727727017,4.60263292340609,4.63486616743783,8.984922054689497,8.984922054689497,3862.0,9276.2,10824.399999999998,116238.40000000001,392,6668.7295918367345,7716.718378009541,-1878.091836734694,4444.094045489394,14.439049322770254,51.367237413749045,48.60720674674163,0.0,0.15852600575734405,14
test,baseline_persistence_v0_1,3913,2281.106823409149,2855.8187731481084,2.364296419679536,2.363834971278982,2.3790281510494817,4.445438282647585,4.445438282647585,1929.0,4819.000000000002,5633.0,116238.40000000001,392,3382.3979591836733,3966.4296692905787,-468.7551020408163,2281.106823409149,0.051111679018655765,51.44390493227703,48.50498338870432,0.0,0.15947108883015812,15
test,svr_rbf_v0_1,3913,9093.845532292162,13007.597021002422,8.766678900632657,9.179725140942013,9.484218056165165,-4754.498669126307,4754.498669126307,6501.594903874517,19905.14670686967,29314.718409526995,116238.40000000001,392,31582.13066252587,33055.20632205237,-31582.13066252587,9093.845532292162,54.76616406848965,40.94045489394327,59.05954510605673,0.3165531561451643,0.177298392959399,16
test,linear_svr_v0_1,3913,77623.97776641195,79174.76255367752,80.48563610919021,134.89287817438807,80.95615093849113,-77623.97776641195,77623.97776641195,75068.99999999211,97978.39999999247,107925.79999999216,116238.40000000001,392,110153.05612244134,110578.29309151969,-110153.05612244134,77623.97776641195,51.44390493227703,0.0,100.0,0.0007761052867134433,0.9209450428492806,17
